,date_time,headlines
133,2020-10-05 08:55:45.976,"Reliance Securities: Currency And Bond Update - October 05, 2020"
134,2020-09-29 09:59:50.137,"Reliance Securities: Currency And Bond Update - September 29, 2020"
135,2020-09-28 11:46:20.241,Reliance Securities: Essel Propack - The Game Changer
136,2020-09-28 11:10:12.969,"Reliance Securities: Currency And Bond Update - September 28, 2020"
137,2020-09-25 09:36:52.939,"Reliance Securities: Currency And Bond Update - September 25, 2020"
138,2020-09-24 12:21:04.768,"Reliance Securities: Currency And Bond Update - September 24, 2020"
139,2020-09-23 11:04:55.596,"Reliance Securities: Currency And Bond Update - September 23, 2020"
140,2020-09-22 10:14:05.699,"Reliance Securities: Currency And Bond Update - September 22, 2020"
141,2020-09-21 10:54:02.218,"Reliance Securities: Currency And Bond Update - September 21, 2020"
142,2020-09-18 10:24:30.541,"Reliance Securities: Currency And Bond Update - September 18, 2020"
143,2020-09-17 08:58:05.212,"Reliance Securities: Currency And Bond Update - September 17, 2020"
144,2020-09-16 09:46:10.480,"Reliance Securities: Currency And Bond Update - September 16, 2020"
145,2020-09-15 08:51:46.346,"Reliance Securities: Currency And Bond Update - September 15, 2020"
146,2020-09-14 09:29:12.247,"Reliance Securities: Currency And Bond Update - September 14, 2020"
147,2020-09-11 14:15:59.151,Reliance Securities: KNR Construction - A Quality Pick In Infra EPC Space   
148,2020-09-11 09:20:52.654,"Reliance Securities: Currency And Bond Update - September 11, 2020"
149,2020-09-10 09:12:55.037,"Reliance Securities: Currency And Bond Update - September 10, 2020"
150,2020-09-09 09:16:17.571,"Reliance Securities: Currency And Bond Update - September 09, 2020"
151,2020-09-08 11:15:37.191,"Reliance Securities: Currency And Bond Update - September 08, 2020"
152,2020-09-07 10:07:23.309,"Reliance Securities: Currency And Bond Update - September 07, 2020"
153,2020-09-04 09:02:38.564,"Reliance Securities: Currency And Bond Update - September 04, 2020"
154,2020-09-03 09:24:42.938,"Reliance Securities: Currency And Bond Update - September 03, 2020"
155,2020-09-02 09:10:19.595,"Reliance Securities: Currency And Bond Update - September 02, 2020"
156,2020-08-31 09:35:16.532,Reliance Securities: Partnership With Lubrizol To Create Opportunities For Prince Pipes 
157,2020-08-31 09:23:54.138,"Reliance Securities: Currency And Bond Update - August 31, 2020"
158,2020-08-28 12:23:32.272,"Reliance Securities: Currency And Bond Update - August 28, 2020"
159,2020-08-27 11:29:55.184,"Reliance Securities: Currency And Bond Update - August 27, 2020"
160,2020-08-26 09:26:11.796,"Reliance Securities: Currency And Bond Update - August 26, 2020"
161,2020-08-25 09:16:54.910,"Reliance Securities: Currency And Bond Update - August 25, 2020"
162,2020-08-24 11:09:46.308,"Reliance Securities: Currency And Bond Update - August 24, 2020"
163,2020-08-21 13:53:48.581,Reliance Securities: No Respite In Sight For Mahanagar Gas
